avganncount,avgdeathsperyear,target_deathrate,incidencerate,medincome,popest2015,povertypercent,studypercap,binnedinc,medianage,medianagemale,medianagefemale,geography,percentmarried,pctnohs18_24,pcths18_24,pctbachdeg18_24,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctprivatecoveragealone,pctempprivcoverage,pctpubliccoverage,pctpubliccoveragealone,pctwhite,pctblack,pctasian,pctotherrace,pctmarriedhouseholds,birthrate,log_medincome,avg_cases_per_100,avg_deaths_per_100,case_fatality_rate,income_group,public_only_reliance,private_only_reliance,state,case_fatality_groups_three,case_fatality_groups_five,medincome_related_avg,residuals
1397.0,469,164.9,489.8,61898,260131,11.2,499.7482038,"(61494.5, 125635]",39.3,36.9,41.7,"Kitsap County, Washington",52.5,11.5,39.5,6.9,23.2,19.6,51.9,8.0,75.1,59.00593042889369,41.6,32.9,14.0,81.78052858,2.594728333,4.821857102,1.843478533,52.85607588,6.118831029,11.033243147972996,0.5370371082262398,0.18029377505948926,0.3357193987115247,High,Low,High,Washington,Low,Low,1.1207057247586025,-0.008800179189148438
173.0,70,161.3,411.6,48127,43269,18.6,23.11123437,"(48021.6, 51046.4]",33.0,32.2,33.7,"Kittitas County, Washington",44.5,6.1,22.4,7.5,26.0,22.7,55.9,7.8,70.2,53.8,43.6,31.1,15.3,89.22850915,0.969102455,2.246232585,3.741351531,45.37250044,4.333095578,10.781598629168116,0.3998243546187802,0.1617786405971943,0.4046242774566474,Middle,Low,High,Washington,Middle,Middle,0.31870210307885466,0.03999643882612497
102.0,50,174.7,349.7,49348,21026,14.6,47.56016361,"(48021.6, 51046.4]",45.0,44.0,45.8,"Klickitat County, Washington",54.2,24.0,36.6,9.5,29.0,16.0,45.9,7.0,63.7,43.5,34.9,42.1,21.1,90.9221902,0.739673391,0.465898175,2.747358309,54.44486837,3.729487817,10.806652517191354,0.4851136687910206,0.23780081803481407,0.49019607843137253,Middle,Middle,Low,Washington,High,High,0.06415908851434506,0.09889401638370293
427.0,202,194.8,430.4,44243,75882,17.1,342.6372526,"(42724.4, 45201]",42.8,42.2,43.4,"Lewis County, Washington",52.7,20.2,41.2,2.5,31.6,9.3,48.3,12.1,58.4,40.3,35.0,45.3,25.0,91.74468649,0.782625968,1.16135867,1.362643183,51.02151448,4.603840773,10.697452445831992,0.5627157955773437,0.2662027885401017,0.47306791569086654,Middle,High,Low,Washington,High,High,-0.3967410040507704,0.06001610224152315
57.0,26,144.4,350.1,49955,10321,12.5,0.0,"(48021.6, 51046.4]",48.3,47.8,48.9,"Lincoln County, Washington",57.8,14.9,43.0,2.0,33.4,15.0,48.2,4.8,61.6,43.9,35.1,44.0,22.7,94.10402393,0.270192029,0.665830358,0.492135482,54.02745995,6.796657382,10.818877879167118,0.5522720666602073,0.2519135742660595,0.45614035087719296,Middle,High,Low,Washington,High,High,-0.009252068346406295,0.05622046280244508
428.0,152,176.0,505.4,52313,61023,15.6,180.259902,"(51046.4, 54545.6]",45.4,43.5,48.0,"Mason County, Washington",50.4,29.9,35.1,4.5,30.4,11.9,44.1,12.9,60.0,38.8,32.6,43.2,20.2,84.88263065,1.653205244,1.53805662,3.31463539,51.22035959,4.964476021,10.865000185131196,0.7013748914343771,0.24908641004211524,0.35514018691588783,High,Middle,Low,Washington,Low,Low Middle,0.013534350224547603,-0.051345663846157796
250.0,97,175.9,461.8,37782,41516,23.2,0.0,"(37413.8, 40362.7]",42.6,42.2,43.5,"Okanogan County, Washington",54.1,26.1,41.4,5.8,29.8,11.9,51.8,8.9,49.5,35.0,28.3,46.4,28.7,75.10645505,0.616955386,0.866156973,8.356721185,51.01389975,4.204317269,10.539588077716799,0.6021774737450621,0.23364485981308408,0.388,Low,High,Low,Washington,Middle,Low Middle,-1.083015402416149,-0.061574980897437126
146.0,71,183.6,404.0,40189,20848,17.8,0.0,"(37413.8, 40362.7]",51.7,50.8,52.5,"Pacific County, Washington",52.7,27.3,33.9,2.2,31.6,11.3,40.9,8.9,55.8,33.1,25.9,50.9,24.1,89.40663599,0.305158634,1.889077258,2.286267861,48.96703297,5.889178996,10.601348605322293,0.7003069838833461,0.3405602455871067,0.4863013698630137,Low,High,Low,Washington,High,High,-0.6871983898705238,0.06257986704681145
88.0,36,190.5,459.4,42579,13088,22.3,0.0,"(40362.7, 42724.4]",49.3,48.4,49.8,"Pend Oreille County, Washington",55.9,34.7,39.4,1.4,32.2,12.0,39.5,10.3,55.5,37.8,29.9,48.1,26.6,91.78747687,0.185070944,0.208204812,0.616903146,53.44699778,5.587583149,10.659116452967368,0.6723716381418092,0.27506112469437655,0.4090909090909091,Middle,High,Low,Washington,Middle,Middle,-0.6020331284883037,-0.015861711729161454
4025.0,1380,177.8,510.9,60397,843954,13.1,427.7484318,"(54545.6, 61494.5]",35.8,34.7,37.0,"Pierce County, Washington",50.0,15.6,36.3,7.1,28.8,16.2,56.6,9.2,69.9,58.154058748347325,44.4,31.4,16.5,74.72966791,6.710854162,6.041472008,2.699184381,50.06357342,5.533430211,11.008694713815196,0.4769217279614765,0.1635160210153634,0.34285714285714286,High,Middle,High,Washington,Low,Low,0.8141713839970516,-0.023001813777247915
